,Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO2,ABW,Aruba,0.081876038879641,0.081889198129641,0.095415470351632,0.099630226496967,0.089089127862925,0.10513852472416,0.096041088682754,0.1053054811031,0.10666213347217,0.10083010991221,0.10209084362928,0.103576037096,0.094350300635409,0.098185197735162,0.1147704940042,0.11212110526337,0.11024630487058,0.11451683477782,0.42266725020641,0.5171708454781,0.52484723332332,0.62044310340786,0.72016309746032,0.69139137330752,0.75769590295671,0.81465189053056,0.54443961814584,0.83166442128601,0.83285565268943,0.87912094196894,0.94334322658242,0.96933783649204,0.98797745483677,1.2801562253833,1.3294341605054,1.3689607176507,1.3306798909215,1.361390292835,1.2807672005231,1.3790716562177,1.3323947757011,1.2666649782931,1.6184406997791,1.5886890369113,1.6157280221235,1.6078789646797,1.5786435519462,1.3154579326256,1.3475943698712,1.3871557671818,1.1443334637731,1.2741338580734
1,CO2,AFG,Afghanistan,1.7395413522755,1.7378231324161,1.7157487420023,1.7428134057819,2.1985511914998,2.0376271841082,1.8998953032556,2.288853429703,1.9407630784266,2.0662112870976,2.0162675117961,2.2690858218876,2.319189549594,3.010081344165,3.2295881882185,4.128132866934,3.9506816479259,3.2744691107014,3.0984307466864,2.9068918926728,2.9104417045146,2.7788898889676,1.6962973975893,1.6265660782862,1.5554828553834,1.3803377790171,1.3531275329902,1.3371456828804,1.347631730224,1.3055411415663,1.0796406304471,0.99324445496634,0.98518396827819,1.0684721481263,0.95725606425632,1.3161403230589,1.4712120766774,2.0466480931894,4.0683881969581,6.6659396336053,8.0862170988524,11.918898263073,10.238063820244,8.4841828552237,8.0162900626025,8.3618485485598,7.6359143561914,8.1452548572453,9.1069973379759,8.0827235578919,8.1837178734951,8.3476690176186
2,CO2,AGO,Angola,8.9525698966065,8.5383080756065,10.388519430309,11.372301295606,11.833760518051,10.930423483667,7.3173846325295,12.057774078756,14.239233958207,14.204372668883,14.342032033401,13.255767524921,12.795299029955,13.251282250086,13.389969997534,14.140745241197,14.289490585121,14.554590055504,15.005272967614,15.168202496198,11.298196838914,11.851035733852,12.19636570644,12.213651301481,11.568319090751,13.039688676153,15.773125617309,16.50057964018,17.138055387453,18.134384621116,16.614836771058,16.29451562953,16.036635272344,17.450208069622,17.815945236575,15.976262837777,16.734873274368,17.247142339475,19.501033382673,21.322356580832,22.973757742719,23.864635968761,24.186843415655,27.822325373373,30.407844276329,32.594130035883,30.691660066993,26.129882441948,24.048619359171,25.325994222386,23.055843825837,24.450057201929
3,CO2,AIA,Anguilla,0.002168291705654,0.002168324664252,0.002263752981642,0.002108963396834,0.002350261031609,0.002584030482624,0.0024344772456412,0.0025370649135451,0.002901613649055,0.003213010678114,0.004412635381756,0.0066397729596435,0.00701885272938,0.0060888907261606,0.0058011357756653,0.003670825502743,0.003154646120883,0.006125875828841,0.005797212703183,0.006148497881747,0.006114424454638,0.007579439898947,0.007902935643679,0.009952196087051,0.013131269869619,0.016395665029098,0.016213344200027,0.013563751970577,0.012448763885185,0.011750832403318,0.015531533712054,0.015910758512475,0.010858915449507,0.014107817736605,0.013471890091542,0.013661616419818,0.012812443408133,0.012354729123615,0.015268477191688,0.020160957873878,0.02400449612851,0.026008054865888,0.026023227575888,0.027940511990259,0.027896060677971,0.028005426108631,0.02833988089009,0.029062445087014,0.028222994264547,0.027579993131251,0.022779487610771,0.025408720214057
4,CO2,AIR,International Aviation,169.30099655376,169.30099655376,179.14748712972,186.89209644091,179.79333089758,173.8660195908,174.27379063729,190.06897823634,197.22262775947,203.97512798624,202.80788891071,202.06799316423,209.34846818947,211.187450018,219.12539676443,225.15616830867,247.39095318463,261.56374289802,276.36671279321,290.29664540428,258.993781258,251.900903152,260.067858229,265.022084659,278.583570164,289.10342514,300.847662832,315.607703574,326.243075691,340.142087101,352.628829209,346.128097935,366.70323830726,364.67014402163,393.90463990663,418.83879041987,434.148654181,448.06349323224,455.89998223991,434.20549225271,458.20504182,472.11240826386,472.72111869682,480.90912624567,496.62769650857,524.65403452571,548.20777735657,582.23048969344,609.63046859697,617.76322926445,338.14408338686,390.16625006175
5,CO2,ALB,Albania,4.8145158967511,4.8148284559525,5.4988041708649,4.9398691666227,5.3197455941692,5.4144380386737,5.785732926054,6.1976695572259,6.8200008388821,7.9255316501242,8.0640264930874,7.0672431784803,7.2705428172933,7.7869556295189,8.4233683415416,8.0677799224531,8.1467482278588,8.2928214184413,8.1967452869088,7.8957543790527,6.6530177105133,4.4373219346626,2.4198303501017,2.2748006261909,2.3871564166901,2.1118837851408,2.1013890092582,1.6286752706998,1.9554729925714,3.1296682663137,3.2735834523057,3.482386302926,4.0415112527333,4.2459904483102,4.4509788877873,4.2133943043394,4.1741332400324,4.283612250875,4.2393399484684,4.3343489004398,4.6169414787126,5.014835957092,4.5743281269221,4.811344922606,5.1346970399975,4.9161194043848,4.6195075378004,5.3469252257788,5.3149893741588,5.0386181987,4.7069204164287,4.5911143380618
6,CO2,ANT,Curaçao,14.518554313987,14.518599534437,14.117423625813,15.611508879518,14.126853194042,10.199642765712,10.852041624401,10.986113516148,9.2747839607234,9.1854508179263,8.6807454223451,8.0451412596654,7.2994055629751,6.83199092078,6.69382035862,4.5023520177545,4.3002462784014,3.9685202867367,3.4626060916775,2.9619723739976,2.6697407441538,2.7691836305944,2.8870514460899,2.3706307430419,2.6690207205442,2.67531134822,2.7038582254284,5.3062482475413,5.4799675611484,5.4489283418907,5.6707747649917,5.708320443471,5.4626633476444,5.4788694262971,5.7211197196646,6.0321337785106,5.9389102510989,6.4514983116215,6.3857060408144,5.9868744055295,4.435001735638,5.6838161587913,5.1308240049962,4.6854954718715,5.258290891151,5.3114843062669,4.5496382707364,3.6194735777669,2.8770222599111,2.2105196481576,1.8310850970796,2.0353240738897
7,CO2,ARE,United Arab Emirates,19.437564123806,25.404107709506,27.718760511927,35.806205490888,35.97103927417,36.642262141505,45.538708017865,45.835847361012,52.580154123969,37.854095751261,41.120682127145,38.047541017516,38.069502865505,36.803703407401,49.997470439139,51.832954487539,50.253120753162,52.088907398637,51.009248413974,56.951633785982,56.901417953042,64.729882240728,62.52928667616,65.929175120958,72.590093203488,77.431451418327,80.925742698295,84.339977132437,86.523156431033,89.214176466815,88.521424841749,101.33746764957,103.6134022837,108.91778072819,115.12682544661,122.57667232553,127.33110726339,137.30516109757,164.39976359268,165.51126749705,172.12278535501,176.4191189325,186.05527259783,195.60901035506,197.23688800304,207.79542581507,212.56027083211,208.68610859721,187.91702838772,199.288853843,189.33802431827,193.50693993096
8,CO2,ARG,Argentina,88.321008974941,88.765100258665,90.716408358467,93.698461534885,93.98721086605,91.411464264742,96.029609675215,100.06759958865,99.336340448493,104.94206279816,102.450479048,99.227794042121,98.415601863209,101.74603566142,101.31349280241,94.546395684059,101.92537399113,107.60487820437,111.43729620904,107.98465523421,100.66465698183,106.00840435836,108.35013304883,112.13547306422,115.87756760283,118.00375994326,128.91535559796,133.40322048291,140.10716164701,142.53397980484,139.4295552363,133.81599067699,125.88767516235,139.76536090596,154.91271294626,158.68534334151,168.07293568472,177.64068677542,183.31612810333,168.77938501121,180.94573102233,189.98537058633,191.77437573974,198.15136268587,195.95263507886,199.41738538622,197.38331321388,194.2575883288,192.03512946608,183.17229817989,171.86324980395,189.00202751128
9,CO2,ARM,Armenia,10.881938171901,10.902720018701,11.705778984201,12.7501401004,13.7884983253,15.159544210499,15.655364444099,16.242221677,16.8466103861,17.504144186998,18.610118850801,18.999465129302,19.512307761402,19.608178365504,19.704454140704,19.94326680452,20.087246056696,20.342487513096,20.37195501882,20.0293721172,20.70145223714,21.56185139769,11.00492397404,5.18005713348,2.88397035485,3.61880406844,2.67583396751,3.43244647793,3.56304519094,3.19974700752,3.66346102269,3.73035688472,3.19863794365,3.5721151144602,3.837753247155,4.54664801143,4.58519012119,5.3000823230727,5.8021992578632,4.6636566375153,4.4702902807162,5.0986767435605,5.877812480245,5.5650624228243,5.5563732888256,5.4144772558276,5.1592942430226,5.4539250821919,5.7714857294829,6.2584253491234,6.3768226583438,6.7698034994438
